type,astm,m,min_d_in,max_d_in,A_in,min_d_mm,max_d_mm,A_mm,relative_cost
music wire,A228,0.145,0.004,0.256,201,0.1,6.5,2211,2.6
oq&t wire,A229,0.187,0.02,0.5,147,0.5,12.7,1855,1.3
hard-drawn wire,A227,0.19,0.028,0.5,140,0.7,12.7,1783,1
chrome-vanadium wire,A232,0.168,0.032,0.437,169,0.8,11.1,2005,3.1
chrome-silicon wire,A401,0.108,0.063,0.375,202,1.6,9.5,1974,4
302 stainless wire,A313,0.146,0.013,0.1,169,0.3,2.5,1867,7.6
302 stainless wire,A313,0.263,0.1,0.2,128,2.5,5,2065,7.6
302 stainless wire,A313,0.478,0.2,0.4,90,5,10,2911,7.6
phosphore-bronze wire,B159,0,0.004,0.022,145,0.1,0.6,1000,8
phosphore-bronze wire,B159,0.028,0.044,0.075,121,0.6,2,913,8
phosphore-bronze wire,B159,0.064,0.075,0.3,110,2,7.5,932,8
